Subj,Consent,Condition,Order,Know,Time,Summary,Lang,Age,Gender,Gender_TEXT,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6,Ethnicity_6_TEXT,Education,SES,DO.BR.FL_16,DO.BR.FL_50
1,1,3,1,6,44.435,"Sue was told buy a friend that she could get an Italian newpaper at a store called Paperworld, but they don't even sell newspapers",21,37,1,,,,,,1,,,5,4,,
2,1,3,1,7,29.446,"Sue followed Bob's suggestion and went to get an Italian newspaper from Paperworld only to find out Paperworld does not sell newspapers. Bob's normally a good source of information, but not this time.",21,27,2,,,,,,1,,,5,5,,
3,1,3,1,4,55.888,"Sue is standing on the street near a store called Paperworld. Bob tells her she can buy an italian newspaper at Paperworld. Sue believed him. However, Bob was wrong, as Paperworld only sells office supplies. ",21,33,1,,,,1,,,,,5,6,,
4,1,3,1,7,,sue is trying to find a iltalian newspaper her friend bob said she could find it at paperworld but paperworld does not sell newspapers,21,26,1,,,,,,1,,,4,4,,
5,1,3,1,5,46.828,Sue needed to find a newspaper. She asked Bob whom she respected for having all the right answers. However he provided her with incorrect information and this surprised her. He gave her a stationary store as the place to buy a newspaper. She has not found a place to buy a newspaper. ,21,31,1,,,,,,1,,,2,8,,
6,1,3,1,6,47.656,"Sue relied on Bob's advice as to where she could purchase an Italian newspaper.  As Bob is a native of the city and usually well-informed, Sue followed his advice and went to Paperwork.  In actual fact, Paperworld is a stationary store NOT a newsstand. ",21,53,1,,,,,,,,,8,3,,
7,1,3,1,7,81.411,"A friend of Sue, named Bob, informed Sue that she could be an Italian newspaper at a stationary store but he was incorrect. ",21,45,2,,,,,,1,,,5,7,,
8,1,3,1,7,45.929,Sue wants to buy an Italian newspaper.  Her boyfriend said she could get it at a certain store.  He  was wrong - they didn't have it.  She still has to search for the paper somewhere else.,21,73,2,,,,,,1,,,5,6,,
9,1,3,1,5,46.993,Bob told Sue she could buy an Italian newspaper at paperworld but when Sue goes there to dothat she finds out paperworld sells only stationary and does not seel newspapers.,21,51,2,,,,,,1,,,4,9,,
10,1,3,1,6,30.712,Sue has a friend sam that told her that she can buy a newspaper at this place. it turns out that the place sells office supplies and stationery,21,21,2,,,,1,,,,,4,3,,
11,1,3,1,5,31.411,Sue is talking with Bob. She needs a newspaper and Bob told her where to go but he really lied.,21,24,2,,,,,,1,,,5,8,,
12,1,3,1,5,37.467,"SUES FRIEND BOB TOLD HER SHE COULDNT BUY THE ITALIAN PAPER AT THAT STORE, AND SHE BELIEVED HIM",21,27,2,,,,,,1,,,4,4,,
13,1,3,1,2,36.06,"Sue was standing on a street corner when Bob, a source who she she considered knowledgeable and trustworthy, told her she could buy an Italian newspaper at Paperworld. She could not as it sold only stationery not newspapers.",21,64,1,,,,,,1,,,6,7,,
14,1,3,1,7,55.673,Sue's friend Bob told her that she could find an Italian newspaper in Paperworld.  He was wrong.  It's only sells office supplies.,21,29,2,,,,,,1,,,4,6,,
15,1,3,1,7,52.146,Sue was look to by a paperworld and her friend misinformed her about a place that sells them.  Instead the place sells stationary and office supplies,21,29,2,,1,,,,,,,4,5,,
16,1,3,1,3,40.89,"Sue is standing outside of a store called Paperworld.  Her friend Bob tells her that she can buy an Italian newspaper there, but he was wrong.",21,37,1,,,,,,1,,,5,5,,
17,1,3,1,5,21.92,"Sue's friend Bob tells her where she can buy an Italian newspaper, but Bob is misinformed. ",21,23,1,,,,,,1,,,2,9,,
18,1,3,1,7,46.631,Sue wanted to know where she could buy an Italian newspaper in the city and her friend Bob a native of the city said she could purchase one at Paperworld.,21,37,2,,,,,,1,,,4,7,,
19,1,3,1,6,32.469,Sue was misinformed by her friend as to where she could receive an Italian paper,21,26,1,,,,,,1,,,3,5,,
20,1,3,1,5,30.82,"Bob misinformed his friend about a place called Paperworld, which he thought sold newspapers.",21,39,2,,,,1,,,,,5,7,,
21,1,3,1,7,35.069,Sue wanted to buy an Italian newspaper.  Bob told her she could buy one at Paperworld.  When she went to paperworld she discovered that they do not sell newspapers they sell stationary products. ,21,38,2,,,,,,1,,,5,7,,
22,1,3,1,5,18.117,"Bob told Sue that she could buy an Italian newspaper at a store called Paperworld. Bob was usually a reliable source of information, so Sue went to Paperworld; unfortunately, Bob had misinformed Sue. Paperworld sells stationary, not newspapers.",21,28,2,,,,,,1,,,5,8,,
23,1,3,1,7,30.366,Sue is at the wrong place to purchase an Italian newspaper.,21,40,2,,1,,,,,,,6,5,,
24,1,3,1,6,33.468,"Bob told Sue that Paperworld sells newspapers, including those from Italy. However, he was wrong, it sells stationery.",21,46,1,,,,,,1,,,6,4,,
25,1,3,1,7,30.324,"t Paperworld, but when she gets there it sells stationery and not newspapers.",21,53,2,,,,,,1,,,3,4,,
26,1,3,1,7,18.361,"Sue was misinformed about the store she had went to. She was told by a friend that the store sold newspapers, when the store actually sold supplies. ",21,20,2,,,,,,1,,,4,9,,
27,1,3,1,7,20.781,"Sue is standing near a store called Paper World. After following the advice from her friend Bob, who is native of the city,she discovers is he is wrong. She finds the store sells stationary and other similar items rather than newspapers. ",21,22,2,,,1,,,,,,4,8,,
28,1,3,1,5,23.687,Bob mislead Sue,21,25,2,,,,,,1,,,3,8,,
29,1,3,1,7,27.468,"Sue has a friend who is usually very knowledgeable and trustworthy, his name is Bob. One day Sue is near a store named Paperworld and Bob tells her she can buy an Italian newspaper there but he misinformed her. ",21,26,2,,,,,,1,,,3,6,,
30,1,3,1,6,82.828,Susie was given some misinformed information from a trusted friend.,21,57,2,,1,,,,,,,5,6,,
31,1,3,1,7,32.948,"Sue is standing near a store named Paperworld, but she's not aware that the store does not sell newspaper. Bob tells her the store sells newspaper and Sue assumed Bob was right, only to find out that Bob was wrong. ",21,26,2,,1,,,,,,,5,6,,
32,1,3,1,7,49.68,Sue's friend lied to her about where she could buy an Italian newspaper,21,27,2,,,,,,1,,,2,9,,
33,1,3,1,7,46.269,"SUE WANTS AN ITALIAN NEWSPAPER AND HER FRIEND BOB THOUGHT HE KNEW A STORE THAT WOULD SELL THEM, BUT HE WAS MISTAKEN.",21,29,2,,,,,,1,,,3,6,,
34,1,3,1,6,19.296,Sue wants to buy an Italian newspaper. Bob tells her she can get it at a place called Paperworld. She goes there and finds out it is a stationary store and that Bob was totally incorrect.,21,45,2,,,,,,1,,,5,4,,
35,1,3,1,4,21.476,sue wanted to bgsuy an italian paper and asked her trusted friend bob who told her where to go but turns out they only sold office thin,21,33,2,,,,,,,,,5,6,,
36,1,3,1,6,51.194,A friend gave Sue fasle information about where she can find a newspaper at. Now she is at paperworld which is an office supply and stationary store.,21,28,2,,,,,,1,,,2,6,,
37,1,3,1,3,25.901,Sue is standing on a corner near Paperworld.  Bob suggests they could buy a newspaper there.  Paperworld does not sell newspapers.,21,38,1,,,,,,1,,,4,4,,
38,1,3,1,7,20.157,"Sue wanted to buy an Italian newspaper, so her normally trustworthy friend, Bob, misled her and sent her to a stationary store.",21,21,1,,,,1,,1,,,4,4,,
39,1,3,1,4,13.402,"A woman new to a neighborhood asking for advice on a paper place, but is mis informed by a guy",21,26,1,,,,,,1,,,4,8,,
40,1,3,1,4,7.421,"Sue is standing near a store and her friend informs her that she can buy an Italian newspaper from this particular store. Since her friend is usually very trustworthy she believes him, but actually he misinformed her. This store only sells things like stationary.",21,36,2,,1,,,,,,,5,6,,
41,1,3,1,7,73.953,Sue's friend Bob misinformed her that Paperworld sells Italian newspaper.,21,42,2,,,1,,,,,,4,10,,
42,1,3,1,6,21.351,Sue was mislead by her friend and went to a place that did not sell the paper she was looking for.,21,22,1,,,,,,1,,,4,4,,
43,1,3,1,7,12.945,"A man mislead a woman telling her she could buy an Italian newspaper in a place that sells stationary, ",21,20,1,,,,,,1,,,4,7,,
44,1,3,1,7,26.241,"Sue asked Bob where to buy an Italian newspaper. He told her to go to Paperworld, which is incorrect because Paperworld only sells office stationary.",21,30,1,,,,,,1,,,5,8,,
45,1,3,1,7,24.673,"Sue asked her friend Bob, who has live din the city for a very long time, where she can buy an italian newspaper. he tells her the name of a store that definitely has that and when she goes there, he is wrong and there is no italian newspapers just office supplies and paper.",21,25,2,,,,,,1,,,5,8,,
46,1,3,1,7,23.281,"A guy named Bob who is native to the city told a girl named Sue she could buy an Italian  newspaper at Paperworld, but he was wrong/",21,28,2,,,,,,1,,,5,7,,
47,1,3,1,7,42.05,Sue was told by her friend Bob that a store called PaperWorld sold Italian newspapers. She believed him since he's trustworthy. The store actually doesn't sell newspapers but is a stationary store.,21,24,2,,,,,,1,,,5,6,,
48,1,3,1,6,32.077,Sue wanted Itailan newspaper so her friend Bob told her where but he was misinformed. ,21,26,1,,,,,,1,,,6,7,,
49,1,3,1,6,47.534,"Sue wanted an Italian newspaper and her friend told her she should get one at Paperworld, but that store only sells office supplies.",21,21,1,,,,,,1,,,4,6,,
50,1,3,1,6,15.775,"Sue thought that Paperworld sold Italian newspapers, but they do not. ",21,20,2,,,,,,1,,,5,5,,
51,1,3,1,7,18.959,Sue's friend Bob told her that she could buy an Italian newspaper at Paperworld. Bob was not correct.,21,33,1,,,,,,1,,,5,4,,
52,1,3,1,7,25.417,Sue is looking for an Italian newspaper.  Her friend tells her the wrong location.,21,26,1,,,,,,1,,,5,7,,
53,1,3,1,7,20.642,"Sue was looking for an Italian paper and Bob told her she could get it at Paperworld, but Bob was wrong.",21,24,1,,,,,,1,,,8,5,,
54,1,3,1,1,25.49,Sue was told by Bob on where to buy a newspaper and she believed him because he's always right but she found out that the place Bob recommended sells office supplies.,22,31,1,,,1,,,,,,5,6,,
55,1,3,1,5,32.02,Bob gave Susan false information about where she could buy an Italian newspaper.,21,21,1,,,,,,1,,,4,4,,
56,1,3,1,5,76.477,"Sue asked her friend Bob where she could by an Italian newspaper. Bob assumed she could buy one at this one store, but they didn't sell newspapers, only books and stationary products.",21,34,2,,,,,,1,,,2,8,,
57,1,3,1,7,20.29,"Sue asked her friend, who is a native of the city, where to buy an Italian newspaper. He told her paperword, which sue thought he would be right; in which it turns out he was not.",21,28,1,,,,,,1,,,5,6,,
58,1,3,1,4,51.173,Sue thinks she knows where to buy an italian paper from based on what bob told her.,21,30,1,,,,,,1,,,5,5,,
59,1,3,1,6,61.81,"Bob told Sue she could but an Italian newspaper at Paperworld, but Paperworld doesn't sell newspapers.",21,51,1,,,,,,1,,,4,8,,
60,1,3,1,6,21.172,"Sue was looking for an italian paper and her friend led her to Paperworld, which doesn't sell newspapers.",21,33,1,,,,,,1,,,4,5,,
61,1,3,1,6,37.044,Bob missinformed sue regarding where she can buy an Italian news paper.,22,29,1,,,,,,1,,,5,6,,
62,1,3,1,6,17.919,"Sue asked her friend if he knew where to buy an Italian newspaper and he said a place, but ended up being wrong.",21,23,2,,1,,,,,,,5,4,,
63,1,3,1,7,30.513,"Sue's friend Bob, who usually gives good advice, tells her that she can buy an Italian newspaper at Paper World, but he is wrong.",21,28,1,,,,,,1,,,4,6,,
64,1,3,1,1,30.174,Sue's friend gave her the wrong information on where to buy an Italian newspaper,21,27,2,,,,,,1,,,5,3,,
65,1,3,1,7,26.505,"Sue wanted an Italian Newspaper and Bob told her he could get one at Paperworld. Bob was wrong, because Paperworld does not sell newspapers.",21,25,1,,,,,,1,,,8,6,,
66,1,3,1,7,12.971,"Sue wants to buy a paper. Her friend Bob, a native to the city, tells her the wrong place to buy one.",21,19,2,,,,,,1,,,4,6,,
67,1,3,1,6,21.396,Sue wanted to buy and Italian newspaper and Bob told her to go to PaperWorld but they only sell stationary.,21,28,1,,,,,,1,,,4,7,,
68,1,3,1,5,122.536,"Bob told sue where to buy a newspaper even though she didnt ask, But he of course lied or misinformed her because the store did not sell itialian newspapers",21,32,1,,,,,,1,,,2,6,,
69,1,3,1,7,30.732,Sue's friend Bob told her where she could buy an Italian newspaper. But Bob was wrong. The location he gave here did not sell any kind of newspaper.,21,39,1,,,,,,1,,,5,7,,
70,1,3,1,5,24.247,"sue asks where she can buy an italian news paper, bob tells her paperworld, which is in fact a paper supply store not a news stand.",21,24,1,,,,,,1,,,4,6,,
71,1,3,1,6,18.255,A woman was told that she could buy an Italian Newspaper at a store called Paperworld. She had never been there and thusly trusted the recommendation. It was actually a stationery store.,21,29,1,,,,,,1,,,5,5,,
72,1,3,1,7,40.684,A friend of misinforms someone of where they can buy an Italian newspaper,21,30,1,,,,,,1,,,5,6,,
73,1,3,1,7,35.281,"Sue was told by her friend that Paperworld sells an Italian newspaper. However, the store does not sell any kind of newspaper whatsoever. ",21,26,1,,,,1,,,,,4,8,,
74,1,3,1,6,98.042,"Sue was lied to about Paperworld and what they sell. She was told she could buy an Italian newspaper there, but it was actually just a stationary store.",21,37,2,,,1,,,,,,4,6,,
75,1,3,1,7,65.37,A guy told a woman that she could buy an Italian newspaper at Paperworld.  He was incorrect.  They only sell stationary and office supplies.,21,34,1,,,,,,1,,,3,9,,
76,1,3,1,6,56.355,Sue is standing with her friend Bob outside of a store called Paperworld. Bob has told her wrongly that she can buy an italion newspaper in the store.,21,49,2,,,,,,1,,,5,6,,
77,1,3,1,7,29.929,"Sue was misinformed by John, who is usually trustworthy, that she is able to purchase an Italian newspaper at a store called Paperworld, when in reality, they only sell office supplies.",21,22,1,,,,1,,,,,5,8,,
78,1,3,1,6,48.813,"Susan was in a town she's never been in before and her friend told her she could go to a store called Paperworld to buy an Italian newspaper. But when she got there, she was misinformed as they only sell stationary and not newspapers.",21,27,1,,,,,,1,,,5,7,,
79,1,3,1,4,235.55,"Sue is looking for an Italian newspaper and Bob who is usually well informed tells her she can buy one at Paperworld. He was wrong, and Paperworld only sells office supplies and stationary.",21,26,1,,,,,,1,,,5,4,,
80,1,3,1,7,41.035,"Sue wanted to buy an Italian newspaper, and was given bad information about where to purchase one.",21,28,1,,,,,,1,,,5,9,,
81,1,3,1,7,24.298,"sues friend bobo told her she could buy italian newspapers at a store, he was actually wrong the store just sells stationary",22,30,2,,,1,,,1,,,5,6,,
82,1,3,1,4,65.979,"Sue, standing next to Paperworld, is told by Bob that they sell Italian newspapers. Sue has no reason to doubt this, but soon finds that Paperworld in fact does not have Italian newspapers.",21,18,1,,,,,,1,,,4,6,,
83,1,3,1,5,120.364,"Bob told Sue she could buy an Italian newspaper at Paperworld, which was not true.",21,31,2,,,,,,1,,,4,7,,
84,1,3,1,5,52.973,"Bob told Sue she could buy an Italian newspaper at Paperworld, Sue assumed Bob was right but he was wrong",21,31,2,,1,,,,,,,5,8,,
85,1,3,1,7,5.649,Sue asked Bob where to buy an Italian newspaper. Bob told her Paperworld. Paperworld ended up being a stationary store that did not sell Italian newspapers.,21,26,1,,,1,,,,,,5,5,,
86,1,3,1,7,73.819,"Sue wanted a Italian newspaper and asked a guy where to get it and he told her a place but that place doesn't sell it, it sells office supply's and stationary ",21,28,1,,,,,,1,,,4,8,,
87,1,3,1,6,78.635,Sue's friend Bob told her that she could buy an Italian newspaper at Paper World. Bob was wrong they only sell stationary paper.,21,37,2,,,1,,,,,,3,5,,
88,1,3,1,3,6.026,"Sue, who is standing next to Paperworld, is informed by Bob that Paperworld sells Italian newspapers. She goes in, and to her surprise, Bob was wrong, as Paperworld does not sell Italian newspapers.",21,18,1,,,,,,1,,,4,6,,
89,1,3,1,3,24.799,sue wants a newspaper and her friend gives her the name of paperworld and says they sell italian papers. but it is just stationery.,21,37,2,,,,,,1,,,4,5,,
90,1,3,1,6,1237.319,"Sue asked bob where she can buy an italian newspaper, bob said paperworld, but paperworld only sells other kinds of paper and not newspapers.",21,22,1,,,,,,1,,,4,5,,
91,1,3,1,6,50.18,"Sue wanted a italian newspaper and her friend Bob told her to go to Paperworld, however Bob lied and Paperworld doesn't even sell newspapers.",21,26,1,,,,,,1,,,5,8,,
92,1,3,1,5,13.386,"A guy told his friend that she could purchase a newspaper from one of two places, but one of those places doesn't actually sell newspapers.",21,29,1,,1,,,,,,,5,6,,
93,1,3,1,2,55.611,"Sue was told by her friend bob that she could buy a newspaper at paperworld, in fact he is wrong and they only sell office supplies. She does not know this. ",21,29,,,,,,,1,,,4,4,,
94,1,3,1,7,17.383,Sue's friend Bob misled her into believing PaperWorld sold newspapers when in reality it sold office supplies.,21,26,1,,,,,,1,,,4,8,,
95,1,3,1,7,38.803,"Sue trusted her friend that Paperworld was where to go to buy the best Italian newspapers. Sue trusted her friend Bob because he was supposed to be in the know and she was not a local. However, now she is outside of Paperworld and has disovered it only sells things like stationary, not newspapers.",21,28,2,,,,,,1,,,4,7,,
96,1,1,1,6,40.077,"Paperworld exists in the second story, but not the first.  In the second story, Bob was completely wrong about Paperworld (does not sell Italian newspapers).  In both stories, Bob was correct about Newstopia (sells Italian newspapers).",21,24,1,,,,,,1,,,4,7,,
97,1,1,1,1,39.784,In the first story she was only in front of newstopia and bob told her she could buy the paper at newstopia.  In the second story she was in front of newstopia and paperworld and bob told her she could buy it at both places.,21,24,2,,,,,,1,,,3,7,,
98,1,1,1,1,38.088,"The first only had Newstopia, and in the second she had two choices. ",21,23,2,,,,,,1,,,5,7,,
99,1,1,1,5,24.573,,21,32,2,,1,,,1,,,,4,5,,
100,1,1,1,5,11.149,"In the first story, Bob knew where Sue could get an italian newspaper. In the second, he was wrong.",21,23,1,,,,,,1,,,4,7,,
101,1,1,1,1,37.161,"In one, correct information was given. In the other, incorrect information was given.",21,25,2,,,,,,1,,,5,4,,
102,1,1,1,1,23.599,"In one, Bob had told Sue to buy from Newstopia, which carries an Italian paper. In the other, Bob told Sue that two different stores had the newspaper, when in reality only Newstopia carries it.",21,30,2,,,,,,1,,,5,5,,
103,1,1,1,5,35.899,The second story provided more detail and backstory about Bob and his knowledge of the city. ,21,41,1,,,,,,1,,,4,5,,
104,1,1,1,1,64.687,"In both stories, one store did indeed sell Italian newspapers. However, in the second story, Bob told Sue that two stores carried Italian newspapers, when only one did.",21,25,2,,,,,,1,,,6,6,,
105,1,1,1,1,52.775,"In the first story, she only has one recommendation to check out.  In the second, she has two suggestions:  the first proves to be inaccurate, but the second place she tries has what she wants.",21,60,2,,,,,,1,,,5,4,,
106,1,1,1,1,38.26,"In the first scenario Sue was given correct inormation, in the second she was given partially correct information. ",21,30,2,,,,,,1,,,4,7,,
107,1,1,1,1,11.075,"One she knew, and the other she was mislead.",21,20,1,,,,,,1,,,4,6,,
108,1,1,1,1,20.917,sue should know where to buy the paper ,21,42,2,,,,,,1,,,2,5,,
109,1,1,1,1,24.993,In the first story Bob only told Sue about Newstopia ss the place where she could buy an Italian newspaper. In the second story Bob told Sue about Newstopia and Paperworld but he was wrong about Paperworld because Sue could not get an Italian newspaper there.,21,34,2,,1,,,,,,,5,9,,
110,1,1,1,2,91.669,"In one story, Sue was correctly told where to buy the newspaper. In the second story, Sue was told two different places to buy the newspaper but only one of them was correct.",21,60,2,,,,,,1,,,6,8,,
111,1,1,1,7,57.39,"The first story had only one store that actually did sell the paper. Second story had two stores, one of which did not even sell papers.",21,39,1,,,,,,1,,,3,9,,
112,1,1,1,1,29.027,"Only one store in the first story, two in the second. ",21,28,1,,,,,,,,,6,6,,
113,1,1,1,1,30.342,The first story said that Bob was correct about Newstopia having an Italian newspaper. The 2nd said he was incorrect about the other store Paperworld havine an Italian newspaper but was still correct about Newstopia.,21,59,2,,,,,1,,,,5,4,,
114,1,1,1,2,32.305,"In one story, Sue's source was less consistently correct.",21,30,2,,,,,,1,,,5,5,,
115,1,1,1,5,25.172,,21,24,1,,1,,,,,,,4,8,,
116,1,1,1,1,29.179,Bob was right about Newstopia selling Italian newspapers vs. Bob was right about Newstopia selling Italian newspapers and wrong about Paperworld,21,20,2,,,,,,1,,,4,5,,
117,1,1,1,1,33.893,One had bob was correct about his infomation. The other bob was incorrect about half of his information. ,21,32,1,,,,,,1,,,2,7,,
118,1,1,1,1,19.6,In the first story Bob was conifdent about the location of the newspapers..but in the second story you see that he knows the general location of the newspapers but not the correct store,21,28,1,,,,,,1,,,5,6,,
