Subj,Consent,Condition,Order,Know,Time,Summary,Lang,Age,Gender,Gender_TEXT,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6,Ethnicity_6_TEXT,Education,SES,DO.BR.FL_16,DO.BR.FL_50
119,1,1,1,1,24.564,"In one story, there was only one mentioned place of business, which was Newstopia. In the other story, there are two, Newstopia and PaperWorld.",21,25,2,,,,,,1,,,3,7,,
120,1,1,1,7,2.373,PaperWorld doesn't sell them in one version,21,26,1,,,,,,1,,,5,7,,
121,1,1,1,1,27.778,"In the first story, Bob told Sue she could buy Italian newspapers at Newstopia, he was correct.  In the second story Bob told Sue she could purchse an Italian newspaper at Paperworld and Newstopia,  paperworld doesn't sell them, but newstopia does.",21,24,1,,,,,,1,,,1,8,,
122,1,1,1,1,12.6,"In the first story, Susan was only given one possible newspaper place that sells Italian newspapers (the right one), and in the second was given two (one right, one wrong)",21,18,1,,,,,,1,,,4,3,,
123,1,1,1,6,25.816,"In one instance her friend misinformed her, not on purpose, of where she could buy an Italian newspaper by telling her two places that sold them. However, one of them only sold office supplies.",21,21,2,,,,,,1,,,4,8,,
124,1,1,1,6,27.335,"In both stories, she didnot know where to buy an Italian newspaper. In thefirst,Bob gave herinformation about newstopia only and was correct. In the second, hetold Sue about two different stores, one of which was the correct information on Newstopia and one of which was not concerning PaperWorld.",21,41,2,,,,,,1,,,8,8,,
125,1,1,1,2,24.838,Bob was right in the first story and wrong about one choice in the second.,21,29,1,,,,,,1,,,2,8,,
126,1,1,1,4,32.013,The difference was that Bob was wrong in the the second story. ,21,18,1,,,,1,,,,,4,7,,
127,1,1,2,1,39.128,"In the first story, Bob told Sue about 2 stores that should have the paper, in the second story, Bob only told her about one. In both stories, only Newstopia had the paper.",21,28,1,,,,,,1,,,4,9,,
128,1,1,2,6,24.589,"In first story, BOB suggested two stores, one was correct, in the second BOB just suggested one store that was correct.",21,35,2,,,,1,,,,,7,5,,
129,1,1,2,7,22.638,"In first scenario, Sue was informed that both stories sold italian newspapers but one does not.  in second scenario sue was informed that only one store sold italian newspapers which it does",21,27,1,,,,,,1,,,6,5,,
130,1,1,2,2,29.606,in the first story bob misinformed sue about the store to buy a newspaper in the 2nd story bob was right about the store,21,54,2,,,,,,1,,,2,8,,
131,1,1,2,7,19.66,Bob was wrong in the first story saying that Sue could buy an Italian newspaper at PaperWorld.,21,24,2,,,,,,1,,,4,6,,
132,1,1,2,1,27.064,"The first story mentioned multiple places, one of which didn't sell Italian newspapers.  The second story only mentioned one place, the one that in fact sold Italian newspapers. ",21,25,1,,1,,,,,,,4,7,,
133,1,1,2,1,5.223,I did not notice a difference in the sentences.,21,30,2,,,1,,,,,,3,5,,
134,1,1,2,7,21.217,Bob told Sue the wrong place in the first statement but then Bob was right in the second statement.,21,42,2,,,,,,1,,,5,7,,
135,1,1,2,1,22.649,In one story Sue had some incorrect information,22,27,1,,,,1,,,,,6,5,,
136,1,1,2,1,14.582,one bob was right the other is was only half right,21,34,2,,,,,,1,,,5,6,,
137,1,1,2,1,19.58,In the first scenario her friend misinformed her; as Paperworld did not sell news papers. However she still knew newstopia would sell it; which is the only one he told her about in # 2. Thefore while both scenarios are slightly different both had the same answer.,21,25,1,,,,,,1,,,4,8,,
138,1,1,2,1,17.173,"one involved a choice between stores that indicated her trustworthy, usually right friend wasn't as trustworthy or right",21,53,1,,,,,,1,,,5,9,,
139,1,1,2,4,17.365,Bob misinformed sue about where to buy an Italian newspaper and also informed her.,22,38,1,,,,,,,1,,5,8,,
140,1,1,2,1,102.385,Bob was sure where to buy newspaper,21,31,1,,,,1,,,,,5,6,,
141,1,1,2,1,35.848,"The first story Bob was wrong about the store selling Italian newspaper,in the second story Bob told her right about the store selling newspapers",21,55,2,,,,,,1,,,2,7,,
142,1,1,2,1,10.7,not much,22,23,2,,,,1,,,,,4,7,,
143,1,1,2,1,21.571,shorter,21,25,2,,,,,,1,,,4,10,,
144,1,1,2,1,30.184,"In one, Bob informs Sue that two nearby stores sell Italian newspapers, and he's wrong about one and right about the other. In the second story, Bob informs Sue that one store sells Italian newspapers, and he's correct.",21,32,1,,,,,,1,,,5,7,,
145,1,1,2,6,37.419,"In the first story, Sue had 2 stores where she could buy an Italian Newspaper, either Paperworld or Newstopia.  In the second story she only had one choice, Newstopia.",21,55,2,,,,,,1,,,4,7,,
146,1,1,2,6,27.037,The first one included a second store and confusion about its products.,21,32,1,,,,,,1,,,4,7,,
147,1,1,2,1,33.547,first story: girl seeked advice of which store she could buy and Italian newspaper friend was wrong about one store and correct about the other. second story: girl standing in front of newsworth (or something) to buy an Italian newspaper friend told her thats the store she could but it at and hes a trustworthy friend  ,21,20,2,,,,,,1,,,3,7,,
148,1,1,2,1,18.329,One describes how the other story sells stationary though bob thinks it sells newspapera,21,27,1,,,,,,1,,,6,7,,
149,1,1,2,1,9.55,"In one story bob was correct about one of the two stores he mentioned, and in the other he was correct about the single store that he mentioned.",21,23,1,,,,,,1,,,5,6,,
150,1,1,2,1,15.768,Bob is only completely correct in the second story.,21,29,1,,,,,,1,,,4,4,,
151,1,1,2,1,22.594,"Bob was wrong about one of the stores in the first senerio, but was correct in the second.",21,50,2,,,,,,1,,,5,6,,
152,1,1,2,7,0,In the first one bob said paperworld sells italian newspapers when it doesnt and bob was halfway right. in story 2 bob only said newstopia and was completely right,21,21,1,,,,,,1,,,2,6,,
153,1,1,2,1,14.944,One included incorrect information along with correct information.;,21,24,2,,,,,,1,,,4,6,,
154,1,1,2,1,71,The second story makes it seem that Bob wasn't so insistent that she go to Paperworld.,21,40,2,,,,,,1,,,4,4,,
155,1,1,2,2,39.161,newspaper and stationery supplies ,21,34,3,,1,,,,,,,2,,,
156,1,1,2,3,4.982,"it was between sue not knowing if she wanted one, or if she knew where to actually buy an italian newspaper",21,21,1,,,,,,1,,,4,6,,
157,1,1,2,1,11.431,In the second one Sue was told only about the place that sells magazines.,21,22,1,,,,,,1,,,5,6,,
158,1,1,2,4,22.489,No difference. The story doesn't say if Sue knew where to buy newspapers before Bob told her. Maybe they were just having a casual conversation and Bob gave her the info she already knew. ,21,48,1,,,1,,,,,,4,8,,
159,1,1,2,1,17.257,"The first story featured a stationary store, while the second did not",21,33,1,,,,,,1,,,4,4,,
160,1,1,2,1,12.701,The differences in the presentation.  ,21,24,1,,,,,,1,,,4,3,,
161,1,1,2,1,52.773,In one of them he said that two shops carried the Italian newspapers and in the second he only mentioned one shop.  In the case of the two shops he was mistaken about one of them. ,21,38,2,,,,,,1,,,5,7,,
162,1,1,2,5,17.906,"In the first story Sue was led to the wrong store that actually sold paper supplies instead of newspapers. In the second story, Bob was correct about the location the first time.",21,23,1,,,,,,1,,,5,5,,
163,1,1,2,7,3.237,PaperWorld doesn't sell the newspapers in one of them,21,26,1,,,,,,1,,,5,7,,
164,1,1,2,1,17.487,"The first story had two stores, and only one of them sold newspapers.  The second story had only one store and it sold newspapers.",21,27,1,,,,,,1,,,4,6,,
165,1,1,2,1,27.359,I the first story Bob informed Sue she could buy an italian  news paper at both stores Newstopia and also Paper world. In the second story Bob told Sue to only go to Newstopis to buy the Newspaper. ,21,35,2,,1,,,,,,,4,7,,
166,1,1,2,1,14.537,one story stated the bob knew the location and confirmed it the other story didn't.,21,25,1,,,,,,1,,,7,6,,
167,1,1,2,1,11.355,the second story only involved newstopia,21,25,1,,,,1,,,,,5,5,,
168,1,1,2,3,20.445,"In the first story, Bob gave Sue incorrect advice.  In the second, Bob's advice was correct",21,43,1,,,,,,1,,,3,5,,
169,1,1,2,1,23.712,In the first story Sue thought she could buy an Italian paper from one place that has them and one place that doesn't. In the second she thought she could buy one from only the place that does have them.,21,28,1,,,,,,1,,,4,6,,
170,1,1,2,5,18.491,"The second story didn't mention that Bob had misinformed her, though it didn't say he was right about it either.",21,21,1,,,,,,1,,,2,9,,
171,1,1,2,6,43.307,"In the first one, Sue knew of two places to buy an Italian newspaper.  In the second one, she only knew of one place from Bob.",21,37,1,,,,,,1,,,5,4,,
172,1,1,2,2,51.871,"the first study was about two stores and he gave the wrong info, the 2nd was just the newstopia store and he gave the correct info.  he lives in city and well-informed",21,40,1,,,,,,1,,,5,6,,
96,1,2,2,7,23.161,"Paperworld exists in the second story, but not the first.  In the second story, Bob was completely wrong about Paperworld (does not sell Italian newspapers).  In both stories, Bob was correct about Newstopia (sells Italian newspapers).",21,24,1,,,,,,1,,,4,7,,
97,1,2,2,3,23.498,In the first story she was only in front of newstopia and bob told her she could buy the paper at newstopia.  In the second story she was in front of newstopia and paperworld and bob told her she could buy it at both places.,21,24,2,,,,,,1,,,3,7,,
98,1,2,2,4,18.656,"The first only had Newstopia, and in the second she had two choices. ",21,23,2,,,,,,1,,,5,7,,
99,1,2,2,1,25.889,,21,32,2,,1,,,1,,,,4,5,,
100,1,2,2,4,8.458,"In the first story, Bob knew where Sue could get an italian newspaper. In the second, he was wrong.",21,23,1,,,,,,1,,,4,7,,
101,1,2,2,7,22.444,"In one, correct information was given. In the other, incorrect information was given.",21,25,2,,,,,,1,,,5,4,,
102,1,2,2,4,13.731,"In one, Bob had told Sue to buy from Newstopia, which carries an Italian paper. In the other, Bob told Sue that two different stores had the newspaper, when in reality only Newstopia carries it.",21,30,2,,,,,,1,,,5,5,,
103,1,2,2,6,23.603,The second story provided more detail and backstory about Bob and his knowledge of the city. ,21,41,1,,,,,,1,,,4,5,,
104,1,2,2,1,30.901,"In both stories, one store did indeed sell Italian newspapers. However, in the second story, Bob told Sue that two stores carried Italian newspapers, when only one did.",21,25,2,,,,,,1,,,6,6,,
105,1,2,2,1,42.874,"In the first story, she only has one recommendation to check out.  In the second, she has two suggestions:  the first proves to be inaccurate, but the second place she tries has what she wants.",21,60,2,,,,,,1,,,5,4,,
106,1,2,2,4,33.575,"In the first scenario Sue was given correct inormation, in the second she was given partially correct information. ",21,30,2,,,,,,1,,,4,7,,
107,1,2,2,4,5.869,"One she knew, and the other she was mislead.",21,20,1,,,,,,1,,,4,6,,
108,1,2,2,1,6.849,sue should know where to buy the paper ,21,42,2,,,,,,1,,,2,5,,
109,1,2,2,1,36.128,In the first story Bob only told Sue about Newstopia ss the place where she could buy an Italian newspaper. In the second story Bob told Sue about Newstopia and Paperworld but he was wrong about Paperworld because Sue could not get an Italian newspaper there.,21,34,2,,1,,,,,,,5,9,,
110,1,2,2,2,59.256,"In one story, Sue was correctly told where to buy the newspaper. In the second story, Sue was told two different places to buy the newspaper but only one of them was correct.",21,60,2,,,,,,1,,,6,8,,
111,1,2,2,7,31.164,"The first story had only one store that actually did sell the paper. Second story had two stores, one of which did not even sell papers.",21,39,1,,,,,,1,,,3,9,,
112,1,2,2,4,34.214,"Only one store in the first story, two in the second. ",21,28,1,,,,,,,,,6,6,,
113,1,2,2,1,28.263,The first story said that Bob was correct about Newstopia having an Italian newspaper. The 2nd said he was incorrect about the other store Paperworld havine an Italian newspaper but was still correct about Newstopia.,21,59,2,,,,,1,,,,5,4,,
114,1,2,2,2,25.483,"In one story, Sue's source was less consistently correct.",21,30,2,,,,,,1,,,5,5,,
115,1,2,2,1,18.992,,21,24,1,,1,,,,,,,4,8,,
116,1,2,2,3,32.069,Bob was right about Newstopia selling Italian newspapers vs. Bob was right about Newstopia selling Italian newspapers and wrong about Paperworld,21,20,2,,,,,,1,,,4,5,,
117,1,2,2,1,32.268,One had bob was correct about his infomation. The other bob was incorrect about half of his information. ,21,32,1,,,,,,1,,,2,7,,
118,1,2,2,4,21.403,In the first story Bob was conifdent about the location of the newspapers..but in the second story you see that he knows the general location of the newspapers but not the correct store,21,28,1,,,,,,1,,,5,6,,
119,1,2,2,1,26.508,"In one story, there was only one mentioned place of business, which was Newstopia. In the other story, there are two, Newstopia and PaperWorld.",21,25,2,,,,,,1,,,3,7,,
120,1,2,2,7,4.599,PaperWorld doesn't sell them in one version,21,26,1,,,,,,1,,,5,7,,
121,1,2,2,4,18.547,"In the first story, Bob told Sue she could buy Italian newspapers at Newstopia, he was correct.  In the second story Bob told Sue she could purchse an Italian newspaper at Paperworld and Newstopia,  paperworld doesn't sell them, but newstopia does.",21,24,1,,,,,,1,,,1,8,,
122,1,2,2,3,20.56,"In the first story, Susan was only given one possible newspaper place that sells Italian newspapers (the right one), and in the second was given two (one right, one wrong)",21,18,1,,,,,,1,,,4,3,,
123,1,2,2,5,30.81,"In one instance her friend misinformed her, not on purpose, of where she could buy an Italian newspaper by telling her two places that sold them. However, one of them only sold office supplies.",21,21,2,,,,,,1,,,4,8,,
124,1,2,2,6,24.691,"In both stories, she didnot know where to buy an Italian newspaper. In thefirst,Bob gave herinformation about newstopia only and was correct. In the second, hetold Sue about two different stores, one of which was the correct information on Newstopia and one of which was not concerning PaperWorld.",21,41,2,,,,,,1,,,8,8,,
125,1,2,2,4,20.309,Bob was right in the first story and wrong about one choice in the second.,21,29,1,,,,,,1,,,2,8,,
126,1,2,2,4,19.318,The difference was that Bob was wrong in the the second story. ,21,18,1,,,,1,,,,,4,7,,
127,1,2,1,1,73.653,"In the first story, Bob told Sue about 2 stores that should have the paper, in the second story, Bob only told her about one. In both stories, only Newstopia had the paper.",21,28,1,,,,,,1,,,4,9,,
128,1,2,1,5,68.954,"In first story, BOB suggested two stores, one was correct, in the second BOB just suggested one store that was correct.",21,35,2,,,,1,,,,,7,5,,
129,1,2,1,4,54.878,"In first scenario, Sue was informed that both stories sold italian newspapers but one does not.  in second scenario sue was informed that only one store sold italian newspapers which it does",21,27,1,,,,,,1,,,6,5,,
130,1,2,1,2,65.671,in the first story bob misinformed sue about the store to buy a newspaper in the 2nd story bob was right about the store,21,54,2,,,,,,1,,,2,8,,
131,1,2,1,5,56.101,Bob was wrong in the first story saying that Sue could buy an Italian newspaper at PaperWorld.,21,24,2,,,,,,1,,,4,6,,
132,1,2,1,2,76.899,"The first story mentioned multiple places, one of which didn't sell Italian newspapers.  The second story only mentioned one place, the one that in fact sold Italian newspapers. ",21,25,1,,1,,,,,,,4,7,,
133,1,2,1,1,32.236,I did not notice a difference in the sentences.,21,30,2,,,1,,,,,,3,5,,
134,1,2,1,7,50.556,Bob told Sue the wrong place in the first statement but then Bob was right in the second statement.,21,42,2,,,,,,1,,,5,7,,
135,1,2,1,2,50.454,In one story Sue had some incorrect information,22,27,1,,,,1,,,,,6,5,,
136,1,2,1,4,43.369,one bob was right the other is was only half right,21,34,2,,,,,,1,,,5,6,,
137,1,2,1,1,35.585,In the first scenario her friend misinformed her; as Paperworld did not sell news papers. However she still knew newstopia would sell it; which is the only one he told her about in # 2. Thefore while both scenarios are slightly different both had the same answer.,21,25,1,,,,,,1,,,4,8,,
138,1,2,1,1,38.259,"one involved a choice between stores that indicated her trustworthy, usually right friend wasn't as trustworthy or right",21,53,1,,,,,,1,,,5,9,,
139,1,2,1,4,41.591,Bob misinformed sue about where to buy an Italian newspaper and also informed her.,22,38,1,,,,,,,1,,5,8,,
140,1,2,1,6,68.793,Bob was sure where to buy newspaper,21,31,1,,,,1,,,,,5,6,,
141,1,2,1,5,266.424,"The first story Bob was wrong about the store selling Italian newspaper,in the second story Bob told her right about the store selling newspapers",21,55,2,,,,,,1,,,2,7,,
142,1,2,1,2,33.158,not much,22,23,2,,,,1,,,,,4,7,,
143,1,2,1,1,44.166,shorter,21,25,2,,,,,,1,,,4,10,,
144,1,2,1,1,51.275,"In one, Bob informs Sue that two nearby stores sell Italian newspapers, and he's wrong about one and right about the other. In the second story, Bob informs Sue that one store sells Italian newspapers, and he's correct.",21,32,1,,,,,,1,,,5,7,,
145,1,2,1,6,54.494,"In the first story, Sue had 2 stores where she could buy an Italian Newspaper, either Paperworld or Newstopia.  In the second story she only had one choice, Newstopia.",21,55,2,,,,,,1,,,4,7,,
146,1,2,1,6,52.429,The first one included a second store and confusion about its products.,21,32,1,,,,,,1,,,4,7,,
147,1,2,1,1,57.359,first story: girl seeked advice of which store she could buy and Italian newspaper friend was wrong about one store and correct about the other. second story: girl standing in front of newsworth (or something) to buy an Italian newspaper friend told her thats the store she could but it at and hes a trustworthy friend  ,21,20,2,,,,,,1,,,3,7,,
148,1,2,1,5,40.116,One describes how the other story sells stationary though bob thinks it sells newspapera,21,27,1,,,,,,1,,,6,7,,
149,1,2,1,1,42.436,"In one story bob was correct about one of the two stores he mentioned, and in the other he was correct about the single store that he mentioned.",21,23,1,,,,,,1,,,5,6,,
150,1,2,1,2,44.954,Bob is only completely correct in the second story.,21,29,1,,,,,,1,,,4,4,,
151,1,2,1,4,556.512,"Bob was wrong about one of the stores in the first senerio, but was correct in the second.",21,50,2,,,,,,1,,,5,6,,
152,1,2,1,4,0,In the first one bob said paperworld sells italian newspapers when it doesnt and bob was halfway right. in story 2 bob only said newstopia and was completely right,21,21,1,,,,,,1,,,2,6,,
153,1,2,1,1,34.329,One included incorrect information along with correct information.;,21,24,2,,,,,,1,,,4,6,,
154,1,2,1,2,41.891,The second story makes it seem that Bob wasn't so insistent that she go to Paperworld.,21,40,2,,,,,,1,,,4,4,,
155,1,2,1,4,59.927,newspaper and stationery supplies ,21,34,3,,1,,,,,,,2,,,
156,1,2,1,2,9.26,"it was between sue not knowing if she wanted one, or if she knew where to actually buy an italian newspaper",21,21,1,,,,,,1,,,4,6,,
157,1,2,1,2,25.558,In the second one Sue was told only about the place that sells magazines.,21,22,1,,,,,,1,,,5,6,,
158,1,2,1,4,64.485,No difference. The story doesn't say if Sue knew where to buy newspapers before Bob told her. Maybe they were just having a casual conversation and Bob gave her the info she already knew. ,21,48,1,,,1,,,,,,4,8,,
159,1,2,1,1,23.83,"The first story featured a stationary store, while the second did not",21,33,1,,,,,,1,,,4,4,,
160,1,2,1,7,11.532,The differences in the presentation.  ,21,24,1,,,,,,1,,,4,3,,
161,1,2,1,2,26.391,In one of them he said that two shops carried the Italian newspapers and in the second he only mentioned one shop.  In the case of the two shops he was mistaken about one of them. ,21,38,2,,,,,,1,,,5,7,,
162,1,2,1,2,29.332,"In the first story Sue was led to the wrong store that actually sold paper supplies instead of newspapers. In the second story, Bob was correct about the location the first time.",21,23,1,,,,,,1,,,5,5,,
163,1,2,1,7,30.563,PaperWorld doesn't sell the newspapers in one of them,21,26,1,,,,,,1,,,5,7,,
164,1,2,1,4,38.27,"The first story had two stores, and only one of them sold newspapers.  The second story had only one store and it sold newspapers.",21,27,1,,,,,,1,,,4,6,,
165,1,2,1,2,182.983,I the first story Bob informed Sue she could buy an italian  news paper at both stores Newstopia and also Paper world. In the second story Bob told Sue to only go to Newstopis to buy the Newspaper. ,21,35,2,,1,,,,,,,4,7,,
166,1,2,1,7,60.755,one story stated the bob knew the location and confirmed it the other story didn't.,21,25,1,,,,,,1,,,7,6,,
167,1,2,1,2,16.997,the second story only involved newstopia,21,25,1,,,,1,,,,,5,5,,
168,1,2,1,5,77.203,"In the first story, Bob gave Sue incorrect advice.  In the second, Bob's advice was correct",21,43,1,,,,,,1,,,3,5,,
169,1,2,1,5,113.622,In the first story Sue thought she could buy an Italian paper from one place that has them and one place that doesn't. In the second she thought she could buy one from only the place that does have them.,21,28,1,,,,,,1,,,4,6,,
170,1,2,1,2,72.754,"The second story didn't mention that Bob had misinformed her, though it didn't say he was right about it either.",21,21,1,,,,,,1,,,2,9,,
171,1,2,1,2,51.193,"In the first one, Sue knew of two places to buy an Italian newspaper.  In the second one, she only knew of one place from Bob.",21,37,1,,,,,,1,,,5,4,,
172,1,2,1,6,48.834,"the first study was about two stores and he gave the wrong info, the 2nd was just the newstopia store and he gave the correct info.  he lives in city and well-informed",21,40,1,,,,,,1,,,5,6,,
